Day;Abs R;Abs G;Abs B;Sca R;Sca G;Sca B;Label Snow
12;1.74E-04;2.07E-04;1.50E-04;5.15E-01;5.33E-01;5.18E-01;fresh
13;3.06E-04;2.95E-04;4.30E-04;4.64E-01;4.83E-01;4.55E-01;fresh
15;1.10E-04;2.06E-04;2.52E-04;5.06E-01;5.21E-01;5.11E-01;fresh
17;5.99E-05;7.94E-05;2.26E-04;5.13E-01;5.49E-01;5.25E-01;dense
19;6.81E-04;4.30E-04;4.50E-04;4.14E-01;4.36E-01;4.19E-01;dense
20;6.54E-04;7.20E-04;6.57E-04;4.66E-01;4.97E-01;4.72E-01;dense
21;2.69E-04;3.35E-04;3.88E-04;5.04E-01;5.34E-01;5.18E-01;dense
22;8.90E-04;9.88E-04;2.90E-03;4.40E-01;4.74E-01;4.51E-01;dense
23;1.30E-04;2.36E-04;2.20E-04;2.78E-01;2.76E-01;2.85E-01;dense
26;2.66E-05;3.00E-05;4.56E-05;2.98E-01;3.11E-01;3.10E-01;dense
27;1.72E-04;1.20E-04;5.50E-05;3.36E-01;3.54E-01;3.54E-01;dense
29;1.72E-04;1.91E-04;2.22E-04;4.20E-01;4.61E-01;4.26E-01;old
30;9.20E-05;1.40E-04;9.09E-05;3.67E-01;3.87E-01;3.80E-01;old
34;1.30E-02;5.10E-03;1.30E-03;4.39E-01;5.56E-01;4.99E-01;fresh
