Day;Average Temperature;Minimum Temperature;Maximum Temperature;Label Snow
1;3.4;-0.3;5.3;dense
5;-3.2;-7.1;2.1;dense
6;-5.4;-9.5;-1.7;dense
12;-0.2;-5.2;6.8;fresh
13;-2.0;-9.3;3.8;fresh
15;-1.8;-6.8;3.5;fresh
17;-2.2;-10.6;2.7;dense
19;0.1;-5.3;6.0;dense
20;-0.4;-7.8;8.2;dense
21;-0.5;-6.2;5.6;dense
22;-0.7;-8.0;5.9;dense
23;2.3;-5.1;9.0;dense
26;-6.4;-14.1;1.4;dense
27;-9.2;-15.0;-1.7;dense
29;-7.7;-12.3;-2.9;old
30;-9.7;-14.3;-1.6;old
34;-2.4;-12.9;3.5;fresh
35;-5.1;-15.9;4.1;fresh
43;4.1;0.7;7.9;old
