Day;Temperature;Label Snow;
1;5,0;dense;
1;4,4;dense;
1;4,4;dense;
1;3,8;dense;
1;4,1;dense;
1;3,9;dense;
1;3,8;dense;
1;3,6;dense;
1;3,4;dense;
1;4,0;dense;
1;4,8;dense;
1;4,5;dense;
1;4,4;dense;
1;4,9;dense;
1;4,9;dense;
1;4,9;dense;
1;4,8;dense;
1;2,7;dense;
1;2,4;dense;
1;1,8;dense;
1;1,3;dense;
1;0,8;dense;
1;0,3;dense;
1;-0,3;dense;
5;-2,3;dense;
5;-4,4;dense;
5;-3,8;dense;
5;-3,1;dense;
5;-3,1;dense;
5;-3,4;dense;
5;-4,5;dense;
5;-6,7;dense;
5;-3,8;dense;
5;-3,1;dense;
5;-2,5;dense;
5;-0,2;dense;
5;-0,3;dense;
5;0,2;dense;
5;-0,2;dense;
5;0,9;dense;
5;-1,6;dense;
5;-4,1;dense;
5;-4,5;dense;
5;-5,0;dense;
5;-5,9;dense;
5;-4,5;dense;
5;-5,5;dense;
5;-4,8;dense;
6;-6,0;dense;
6;-8,2;dense;
6;-6,7;dense;
6;-7,5;dense;
6;-9,1;dense;
6;-6,8;dense;
6;-5,8;dense;
6;-6,1;dense;
6;-8,5;dense;
6;-5,8;dense;
6;-3,7;dense;
6;-1,7;dense;
6;-3,3;dense;
6;-3,7;dense;
6;-3,8;dense;
6;-4,0;dense;
6;-4,8;dense;
6;-5,0;dense;
6;-5,3;dense;
6;-5,7;dense;
6;-4,4;dense;
6;-4,9;dense;
6;-4,9;dense;
6;-5,0;dense;
12;-5,2;fresh;
12;-5,1;fresh;
12;-4,9;fresh;
12;-4,4;fresh;
12;-2,2;fresh;
12;-2,8;fresh;
12;-2,8;fresh;
12;-2,8;fresh;
12;-3,1;fresh;
12;-1,5;fresh;
12;-1,1;fresh;
12;0,4;fresh;
12;0,1;fresh;
12;2,7;fresh;
12;4,2;fresh;
12;6,8;fresh;
12;2,7;fresh;
12;2,6;fresh;
12;4,7;fresh;
12;3,2;fresh;
12;3,4;fresh;
12;2,1;fresh;
12;-0,8;fresh;
12;-1,3;fresh;
13;-2,8;fresh;
13;-3,1;fresh;
13;-1,9;fresh;
13;1,4;fresh;
13;1,7;fresh;
13;-0,8;fresh;
13;-5,5;fresh;
13;-0,2;fresh;
13;-6,9;fresh;
13;0,1;fresh;
13;-1,0;fresh;
13;3,4;fresh;
13;2,8;fresh;
13;2,7;fresh;
13;2,0;fresh;
13;1,7;fresh;
13;-3,2;fresh;
13;-3,7;fresh;
13;-6,2;fresh;
13;-8,2;fresh;
13;-8,8;fresh;
13;-4,4;fresh;
13;-3,6;fresh;
13;-4,0;fresh;
15;-1,1;fresh;
15;-1,2;fresh;
15;-1,3;fresh;
15;-1,4;fresh;
15;-1,8;fresh;
15;-1,5;fresh;
15;-2,7;fresh;
15;-3,0;fresh;
15;-1,9;fresh;
15;-2,6;fresh;
15;-1,9;fresh;
15;0,7;fresh;
15;1,0;fresh;
15;3,0;fresh;
15;0,3;fresh;
15;-4,4;fresh;
15;-5,3;fresh;
15;-4,1;fresh;
15;-4,1;fresh;
15;-3,6;fresh;
15;-2,3;fresh;
15;-1,3;fresh;
15;-2,0;fresh;
15;-1,5;fresh;
17;-9,0;dense;
17;-7,8;dense;
17;-7,0;dense;
17;-8,9;dense;
17;-5,3;dense;
17;-5,1;dense;
17;-4,2;dense;
17;-3,7;dense;
17;-3,0;dense;
17;-1,0;dense;
17;0,5;dense;
17;1,4;dense;
17;2,7;dense;
17;2,4;dense;
17;2,0;dense;
17;1,8;dense;
17;0,6;dense;
17;0,2;dense;
17;-0,6;dense;
17;-1,2;dense;
17;-2,6;dense;
17;-1,2;dense;
17;-2,1;dense;
17;-1,4;dense;
19;1,3;dense;
19;-0,3;dense;
19;-1,6;dense;
19;-5,1;dense;
19;0,5;dense;
19;-0,4;dense;
19;-2,9;dense;
19;-0,2;dense;
19;-1,1;dense;
